Customer,,
Field Name,Data Type,Description
Id,Guid,
Address,string,
Street1,string,
Street2,string?,
City,string,
State,string,
Zip,string,
Country,string?,
Latitude,decimal?,
Longitude,decimal?,
StartupDate,DateOnly?,
Status,string?,
ContactName,string?,
LegacyRecordId,string?,
ContactPhone,string?,
ContactEmail,string?,
GateCodes,string?,
AnimalsPresent,bool,
OriginalInstallerDealer,string?,
AddressKey,string,
WorkOrders,List<WorkOrder>,
WarrantyClaims,List<WarrantyClaim>,

,, 
WarrantyClaim,,
Field Name,Data Type,Description
Id,Guid,
ClaimNumber,string,
Address,string,
Street1,string,
Street2,string?,
City,string,
State,string,
Zip,string,
Country,string?,
Latitude,decimal?,
Longitude,decimal?,
LegacyRecordId,string?,
OriginalInstallerDealer,string?,
OriginalInstallationDate,DateOnly?,
ComponentCode,string?,
IdSerialNumber,string?,
ComponentSerialNumber,string?,
AddressKey,string,
ServiceRequest,string?,
Image1,string?,
Image1Url,string?,
Image2,string?,
Image2Url,string?,
CompletedBy,string?,
ModelNumber,string?,
FailureDate,DateOnly?,
RepairDate,DateOnly?,
Status,string?,
FiledOnDate,DateOnly?,
HaywardStatus,string?,
HaywardStatusUpdatedOn,DateOnly?,
CustomerId,Guid?,
Customer,Customer?,
WorkOrderId,Guid?,
WorkOrder,WorkOrder?,

,,
WorkOrder,,
Field Name,Data Type,Description
Id,Guid,
BuilderContact,string?,
BuilderContactTitle,string?,
BuilderContactFirst,string?,
BuilderContactMiddle,string?,
BuilderContactLast,string?,
LegacyRecordId,string?,
ServiceAddress,string,
ServiceStreet1,string,
ServiceStreet2,string?,
ServiceCity,string,
ServiceState,string,
ServiceZip,string,
ServiceCountry,string?,
ServiceLatitude,decimal?,
ServiceLongitude,decimal?,
GateCode,string?,
AnimalsPresent,bool,
ServiceStartupDate,DateOnly?,
ServiceDetails,string?,
ServiceContact,string?,
ServiceContactTitle,string?,
ServiceContactFirst,string?,
ServiceContactMiddle,string?,
ServiceContactLast,string?,
ServicePhone,string?,
BuilderCompanyName,string?,
BuilderPhoneNumber,string?,
BuilderEmail,string?,
ScheduledServiceDate,DateOnly?,
AddressKey,string,
AssignedTo,string?,
Status,string?,
Space,string?,
PreKey,string?,
CompletedBy,string?,
CustomerId,Guid?,
Customer,Customer?,
WarrantyClaims,List<WarrantyClaim>,
